weapon,skin,wear,float,pattern,stattrak,price,phase,fade_seed,fade_percentage,fade_rank,fade_type,stickers_count,stickers_total_value,stickers_avg_value,stickers_max_value,stickers_total_over_price,slot0_name,slot0_price,slot1_name,slot1_price,slot2_name,slot2_price,slot3_name,slot3_price,market_hash_name
Karambit,Fade,Factory New,0.0176718439906835,612,0,2286.12,,612,83.487305,819,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.028630085932922034,612,0,2272.15,,612,83.487305,819,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.0320157607871388,612,0,2331.24,,612,83.487305,819,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.0014389379061894823,612,0,2394.85,,612,83.487305,819,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.0218956042081117,590,0,2588.16,,590,96.951126,155,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.03234119228772582,590,0,2662.2,,590,96.951126,155,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.007020149515133536,590,0,2575.32,,590,96.951126,155,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.01672752517741495,590,0,2698.61,,590,96.951126,155,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.011946010403335,463,0,4028.07,,463,95.84654,208,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.017700615206561583,463,0,4158.08,,463,95.84654,208,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.009682578356428245,463,0,3918.2,,463,95.84654,208,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.014129401883968391,463,0,3852.37,,463,95.84654,208,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.0675052925944328,707,0,2245.0,,707,88.19417,591,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.08061053947413609,707,0,2274.56,,707,88.19417,591,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.07782880219784775,707,0,2212.34,,707,88.19417,591,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.08633321357022894,707,0,2333.26,,707,88.19417,591,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.0283177271485328,961,0,2142.67,,961,80.11866,991,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.039453067031483276,961,0,2077.24,,961,80.11866,991,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
Karambit,Fade,Factory New,0.02698656729761417,961,0,2044.92,,961,80.11866,991,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Fade (Factory New)
